season,date,batting_team
2008,2008-04-18,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-04-19,Chennai Super Kings
,,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,2008-04-20,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2008-04-21,Kings XI Punjab
,,Rajasthan Royals
,2008-04-22,Deccan Chargers
,,Delhi Daredevils
,2008-04-23,Chennai Super Kings
,,Mumbai Indians
,2008-04-24,Deccan Chargers
,,Rajasthan Royals
,2008-04-25,Kings XI Punjab
,,Mumbai Indians
,2008-04-26,Chennai Super Kings
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2008-04-27,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,2008-04-28,Chennai Super Kings
,,Royal Challengers Bangalore
,2008-04-29,Kolkata Knight Riders
,,Mumbai Indians
,2008-04-30,Delhi Daredevils
,,Royal Challengers Bangalore
,2008-05-01,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2008-05-02,Chennai Super Kings
,,Delhi Daredevils
,2008-05-03,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-05-04,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,2008-05-05,Kings XI Punjab
,,Royal Challengers Bangalore
,2008-05-06,Chennai Super Kings
,,Deccan Chargers
,2008-05-07,Mumbai Indians
,,Rajasthan Royals
,2008-05-08,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-05-09,Deccan Chargers
,,Rajasthan Royals
,2008-05-10,Chennai Super Kings
,,Kings XI Punjab
,2008-05-11,Deccan Chargers
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Rajasthan Royals
,2008-05-12,Kings XI Punjab
,,Royal Challengers Bangalore
,2008-05-13,Delhi Daredevils
,,Kolkata Knight Riders
,2008-05-14,Chennai Super Kings
,,Mumbai Indians
,2008-05-15,Deccan Chargers
,,Delhi Daredevils
,2008-05-16,Kolkata Knight Riders
,,Mumbai Indians
,2008-05-17,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2008-05-18,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,2008-05-19,Delhi Daredevils
,,Royal Challengers Bangalore
,2008-05-20,Kolkata Knight Riders
,,Rajasthan Royals
,2008-05-21,Chennai Super Kings
,,Kings XI Punjab
,,Mumbai Indians
,,Royal Challengers Bangalore
,2008-05-23,Deccan Chargers
,,Kings XI Punjab
,2008-05-24,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,2008-05-25,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-05-26,Mumbai Indians
,,Rajasthan Royals
,2008-05-27,Chennai Super Kings
,,Deccan Chargers
,2008-05-28,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2008-05-30,Delhi Daredevils
,,Rajasthan Royals
,2008-05-31,Chennai Super Kings
,,Kings XI Punjab
,2008-06-01,Chennai Super Kings
,,Rajasthan Royals
2009,2009-04-18,Chennai Super Kings
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-04-19,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,2009-04-20,Chennai Super Kings
,,Royal Challengers Bangalore
,2009-04-21,Kings XI Punjab
,,Kolkata Knight Riders
,2009-04-22,Deccan Chargers
,,Royal Challengers Bangalore
,2009-04-23,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Rajasthan Royals
,2009-04-24,Kings XI Punjab
,,Royal Challengers Bangalore
,2009-04-25,Deccan Chargers
,,Mumbai Indians
,2009-04-26,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-04-27,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,2009-04-28,Delhi Daredevils
,,Rajasthan Royals
,2009-04-29,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-04-30,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Rajasthan Royals
,2009-05-01,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-02,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Rajasthan Royals
,2009-05-03,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-04,Chennai Super Kings
,,Deccan Chargers
,2009-05-05,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2009-05-06,Deccan Chargers
,,Mumbai Indians
,2009-05-07,Chennai Super Kings
,,Kings XI Punjab
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-05-08,Delhi Daredevils
,,Mumbai Indians
,2009-05-09,Chennai Super Kings
,,Deccan Chargers
,,Kings XI Punjab
,,Rajasthan Royals
,2009-05-10,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-11,Deccan Chargers
,,Rajasthan Royals
,2009-05-12,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-13,Deccan Chargers
,,Delhi Daredevils
,2009-05-14,Chennai Super Kings
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-05-15,Delhi Daredevils
,,Kings XI Punjab
,2009-05-16,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,2009-05-17,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,2009-05-18,Chennai Super Kings
,,Kolkata Knight Riders
,2009-05-19,Delhi Daredevils
,,Royal Challengers Bangalore
,2009-05-20,Chennai Super Kings
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2009-05-21,Deccan Chargers
,,Delhi Daredevils
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-22,Deccan Chargers
,,Delhi Daredevils
,2009-05-23,Chennai Super Kings
,,Royal Challengers Bangalore
,2009-05-24,Deccan Chargers
,,Royal Challengers Bangalore
2010,2010-03-12,Deccan Chargers
,,Kolkata Knight Riders
,2010-03-13,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2010-03-14,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2010-03-15,Delhi Daredevils
,,Rajasthan Royals
,2010-03-16,Chennai Super Kings
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2010-03-17,Delhi Daredevils
,,Mumbai Indians
,2010-03-18,Rajasthan Royals
,,Royal Challengers Bangalore
,2010-03-19,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,2010-03-20,Kolkata Knight Riders
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2010-03-21,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,2010-03-22,Kolkata Knight Riders
,,Mumbai Indians
,2010-03-23,Chennai Super Kings
,,Royal Challengers Bangalore
,2010-03-24,Kings XI Punjab
,,Rajasthan Royals
,2010-03-25,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Royal Challengers Bangalore
,2010-03-26,Deccan Chargers
,,Rajasthan Royals
,2010-03-27,Kings XI Punjab
,,Kolkata Knight Riders
,2010-03-28,Chennai Super Kings
,,Deccan Chargers
,,Mumbai Indians
,,Rajasthan Royals
,2010-03-29,Delhi Daredevils
,,Kolkata Knight Riders
,2010-03-30,Kings XI Punjab
,,Mumbai Indians
,2010-03-31,Chennai Super Kings
,,Delhi Daredevils
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2010-04-01,Deccan Chargers
,,Kolkata Knight Riders
,2010-04-02,Kings XI Punjab
,,Royal Challengers Bangalore
,2010-04-03,Chennai Super Kings
,,Deccan Chargers
,,Mumbai Indians
,,Rajasthan Royals
,2010-04-04,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2010-04-05,Deccan Chargers
,,Rajasthan Royals
,2010-04-06,Chennai Super Kings
,,Mumbai Indians
,2010-04-07,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2010-04-08,Deccan Chargers
,,Royal Challengers Bangalore
,2010-04-09,Kings XI Punjab
,,Mumbai Indians
,2010-04-10,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2010-04-11,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2010-04-12,Deccan Chargers
,,Royal Challengers Bangalore
,2010-04-13,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,2010-04-14,Rajasthan Royals
,,Royal Challengers Bangalore
,2010-04-15,Chennai Super Kings
,,Delhi Daredevils
,2010-04-16,Deccan Chargers
,,Kings XI Punjab
,2010-04-17,Kolkata Knight Riders
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2010-04-18,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,2010-04-19,Kolkata Knight Riders
,,Mumbai Indians
,2010-04-21,Mumbai Indians
,,Royal Challengers Bangalore
,2010-04-22,Chennai Super Kings
,,Deccan Chargers
,2010-04-24,Deccan Chargers
,,Royal Challengers Bangalore
,2010-04-25,Chennai Super Kings
,,Mumbai Indians
2011,2011-04-08,Chennai Super Kings
,,Kolkata Knight Riders
,2011-04-09,Deccan Chargers
,,Kochi Tuskers Kerala
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2011-04-10,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Pune Warriors
,2011-04-11,Deccan Chargers
,,Kolkata Knight Riders
,2011-04-12,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2011-04-13,Chennai Super Kings
,,Kings XI Punjab
,,Kochi Tuskers Kerala
,,Pune Warriors
,2011-04-14,Deccan Chargers
,,Royal Challengers Bangalore
,2011-04-15,Kochi Tuskers Kerala
,,Kolkata Knight Riders
,,Mumbai Indians
,,Rajasthan Royals
,2011-04-16,Chennai Super Kings
,,Deccan Chargers
,,Kings XI Punjab
,,Royal Challengers Bangalore
,2011-04-17,Delhi Daredevils
,,Kolkata Knight Riders
,,Pune Warriors
,,Rajasthan Royals
,2011-04-18,Chennai Super Kings
,,Kochi Tuskers Kerala
,2011-04-19,Deccan Chargers
,,Delhi Daredevils
,2011-04-20,Kochi Tuskers Kerala
,,Kolkata Knight Riders
,,Mumbai Indians
,,Pune Warriors
,2011-04-21,Kings XI Punjab
,,Rajasthan Royals
,2011-04-22,Chennai Super Kings
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2011-04-23,Delhi Daredevils
,,Kings XI Punjab
,2011-04-24,Deccan Chargers
,,Kochi Tuskers Kerala
,,Mumbai Indians
,,Rajasthan Royals
,2011-04-25,Chennai Super Kings
,,Pune Warriors
,2011-04-26,Delhi Daredevils
,,Royal Challengers Bangalore
,2011-04-27,Chennai Super Kings
,,Deccan Chargers
,,Kochi Tuskers Kerala
,,Pune Warriors
,2011-04-28,Delhi Daredevils
,,Kolkata Knight Riders
,2011-04-29,Mumbai Indians
,,Pune Warriors
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2011-04-30,Delhi Daredevils
,,Kings XI Punjab
,,Kochi Tuskers Kerala
,,Kolkata Knight Riders
,2011-05-01,Chennai Super Kings
,,Deccan Chargers
,,Pune Warriors
,,Rajasthan Royals
,2011-05-02,Delhi Daredevils
,,Kings XI Punjab
,,Kochi Tuskers Kerala
,,Mumbai Indians
,2011-05-03,Deccan Chargers
,,Kolkata Knight Riders
,2011-05-04,Chennai Super Kings
,,Mumbai Indians
,,Pune Warriors
,,Rajasthan Royals
,2011-05-05,Deccan Chargers
,,Delhi Daredevils
,,Kochi Tuskers Kerala
,,Kolkata Knight Riders
,2011-05-06,Kings XI Punjab
,,Royal Challengers Bangalore
,2011-05-07,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,2011-05-08,Kings XI Punjab
,,Kochi Tuskers Kerala
,,Pune Warriors
,,Royal Challengers Bangalore
,2011-05-09,Chennai Super Kings
,,Rajasthan Royals
,2011-05-10,Deccan Chargers
,,Kings XI Punjab
,,Mumbai Indians
,,Pune Warriors
,2011-05-11,Rajasthan Royals
,,Royal Challengers Bangalore
,2011-05-12,Chennai Super Kings
,,Delhi Daredevils
,2011-05-13,Kings XI Punjab
,,Kochi Tuskers Kerala
,2011-05-14,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2011-05-15,Delhi Daredevils
,,Kings XI Punjab
,,Kochi Tuskers Kerala
,,Rajasthan Royals
,2011-05-16,Deccan Chargers
,,Pune Warriors
,2011-05-17,Kings XI Punjab
,,Royal Challengers Bangalore
,2011-05-18,Chennai Super Kings
,,Kochi Tuskers Kerala
,2011-05-19,Kolkata Knight Riders
,,Pune Warriors
,2011-05-20,Mumbai Indians
,,Rajasthan Royals
,2011-05-21,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,2011-05-22,Chennai Super Kings
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2011-05-24,Chennai Super Kings
,,Royal Challengers Bangalore
,2011-05-25,Kolkata Knight Riders
,,Mumbai Indians
,2011-05-27,Mumbai Indians
,,Royal Challengers Bangalore
,2011-05-28,Chennai Super Kings
,,Royal Challengers Bangalore
2012,2012-04-04,Chennai Super Kings
,,Mumbai Indians
,2012-04-05,Delhi Daredevils
,,Kolkata Knight Riders
,2012-04-06,Kings XI Punjab
,,Mumbai Indians
,,Pune Warriors
,,Rajasthan Royals
,2012-04-07,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Royal Challengers Bangalore
,2012-04-08,Kings XI Punjab
,,Kolkata Knight Riders
,,Pune Warriors
,,Rajasthan Royals
,2012-04-09,Deccan Chargers
,,Mumbai Indians
,2012-04-10,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2012-04-11,Mumbai Indians
,,Rajasthan Royals
,2012-04-12,Chennai Super Kings
,,Kings XI Punjab
,,Pune Warriors
,,Royal Challengers Bangalore
,2012-04-13,Kolkata Knight Riders
,,Rajasthan Royals
,2012-04-14,Chennai Super Kings
,,Pune Warriors
,2012-04-15,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2012-04-16,Delhi Daredevils
,,Mumbai Indians
,2012-04-17,Deccan Chargers
,,Pune Warriors
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2012-04-18,Kings XI Punjab
,,Kolkata Knight Riders
,2012-04-19,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Pune Warriors
,2012-04-20,Kings XI Punjab
,,Royal Challengers Bangalore
,2012-04-21,Chennai Super Kings
,,Delhi Daredevils
,,Pune Warriors
,,Rajasthan Royals
,2012-04-22,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,2012-04-23,Rajasthan Royals
,,Royal Challengers Bangalore
,2012-04-24,Delhi Daredevils
,,Pune Warriors
,2012-04-25,Kings XI Punjab
,,Mumbai Indians
,2012-04-26,Deccan Chargers
,,Pune Warriors
,2012-04-27,Delhi Daredevils
,,Mumbai Indians
,2012-04-28,Chennai Super Kings
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2012-04-29,Deccan Chargers
,,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,2012-04-30,Chennai Super Kings
,,Kolkata Knight Riders
,2012-05-01,Deccan Chargers
,,Delhi Daredevils
,,Pune Warriors
,,Rajasthan Royals
,2012-05-02,Kings XI Punjab
,,Royal Challengers Bangalore
,2012-05-03,Mumbai Indians
,,Pune Warriors
,2012-05-04,Chennai Super Kings
,,Deccan Chargers
,2012-05-05,Kings XI Punjab
,,Kolkata Knight Riders
,,Pune Warriors
,,Rajasthan Royals
,2012-05-06,Chennai Super Kings
,,Deccan Chargers
,,Mumbai Indians
,,Royal Challengers Bangalore
,2012-05-07,Delhi Daredevils
,,Kolkata Knight Riders
,2012-05-08,Deccan Chargers
,,Kings XI Punjab
,,Pune Warriors
,,Rajasthan Royals
,2012-05-09,Mumbai Indians
,,Royal Challengers Bangalore
,2012-05-10,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Rajasthan Royals
,2012-05-11,Pune Warriors
,,Royal Challengers Bangalore
,2012-05-12,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,2012-05-13,Deccan Chargers
,,Kings XI Punjab
,,Pune Warriors
,,Rajasthan Royals
,2012-05-14,Chennai Super Kings
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2012-05-15,Delhi Daredevils
,,Kings XI Punjab
,2012-05-16,Kolkata Knight Riders
,,Mumbai Indians
,2012-05-17,Chennai Super Kings
,,Delhi Daredevils
,,Kings XI Punjab
,,Royal Challengers Bangalore
,2012-05-18,Deccan Chargers
,,Rajasthan Royals
,2012-05-19,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Pune Warriors
,2012-05-20,Deccan Chargers
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2012-05-22,Delhi Daredevils
,,Kolkata Knight Riders
,2012-05-23,Chennai Super Kings
,,Mumbai Indians
,2012-05-25,Chennai Super Kings
,,Delhi Daredevils
,2012-05-27,Chennai Super Kings
,,Kolkata Knight Riders
